Location
"`Abasan al Kabirah, Gaza Strip"
"Colomiers, France"
"Colon, Argentina"
"Colon, Argentina"
"Colon, Costa Rica"
"Colon, Cuba"
"Colon, El Salvador"
"Colon, Panama"
"Colon, Venezuela"
"Colonia del Sacramento, Uruguay"
"Colonia del Sol, Mexico"
"Colonia General Felipe Angeles, Mexico"
"Colonia Leopoldina, Brazil"
"Colonia Nicolich, Uruguay"
"Colonia, Micronesia, Federated States of"
"Colonia, United States"
"Colonial Heights, United States"
"Colonial Park, United States"
"Colonie, United States"
"Colorado do Oeste, Brazil"
"Colorado Springs, United States"
"Colorado, Brazil"
"Colorno, Italy"
"Colotenango, Guatemala"
"Colotlan, Mexico"
"Coltauco, Chile"
"Colton, United States"
"Colts Neck, United States"
"Columbia City, United States"
"Columbia Heights, United States"
"Columbia, United States"
"Columbia, United States"
"Columbia, United States"
"Columbia, United States"
"Columbia, United States"
"Columbia, United States"
"Columbine, United States"
"Columbio, Philippines"
"Columbus, United States"
"Columbus, United States"
"Columbus, United States"
"Columbus, United States"
"Columbus, United States"
"Colwood, Canada"
"Colwyn Bay, United Kingdom"
"Comacchio, Italy"
"Comala, Mexico"
"Comalapa, Mexico"
"Comalapa, Nicaragua"
"Comalcalco, Mexico"
"Comallo, Argentina"
"Comandante Fontana, Argentina"
"Comandante Luis Piedra Buena, Argentina"
"Comanesti, Romania"
"Comapa, Guatemala"
"Comapa, Mexico"
"Comarapa, Bolivia"
"Comarnic, Romania"
"Comasagua, El Salvador"
"Comayagua, Honduras"
"Comayaguela, Honduras"
"Combarbala, Chile"
"Combita, Colombia"
"Combs-la-Ville, France"
"Come, Benin"
"Comendador Levy Gasparian, Brazil"
"Comendador, Dominican Republic"
"Comilla, Bangladesh"
"Comines, France"
"Comiso, Italy"
"Comitan, Mexico"
"Comitancillo, Guatemala"
"Commack, United States"
"Commerce City, United States"
"Commerce, United States"
"Commerce, United States"
"Commune Sidi Youssef Ben Ahmed, Morocco"
"Como, Italy"
"Comodoro Rivadavia, Argentina"
"Comodoro, Brazil"
"Comonfort, Mexico"
"Comox, Canada"
"Companiganj, Bangladesh"
"Compiegne, France"
"Compostela, Mexico"
"Compostela, Philippines"
"Compton, United States"
"Comrat, Moldova"
"Comstock Park, United States"
"Con Dao, Vietnam"
"Conakry, Guinea"
"Concarneau, France"
"Conceicao da Aparecida, Brazil"
"Conceicao da Barra, Brazil"
"Conceicao da Feira, Brazil"
"Conceicao das Alagoas, Brazil"
"Conceicao de Jacuipe, Brazil"
"Conceicao de Macabu, Brazil"
"Conceicao do Almeida, Brazil"
"Conceicao do Araguaia, Brazil"
"Conceicao do Castelo, Brazil"
"Conceicao do Coite, Brazil"
"Conceicao do Mato Dentro, Brazil"
"Conceicao do Rio Verde, Brazil"
"Conceicao dos Ouros, Brazil"
"Conceicao, Brazil"
"Concepcion Batres, El Salvador"
"Concepcion Chiquirichapa, Guatemala"
"Concepcion de Ataco, El Salvador"
"Concepcion del Uruguay, Argentina"
"Concepcion Huista, Guatemala"
"Concepcion Las Minas, Guatemala"
"Concepcion Quezaltepeque, El Salvador"
"Concepcion Tutuapa, Guatemala"
"Concepcion, Argentina"
"Concepcion, Chile"
"Concepcion, Paraguay"
"Concepcion, Peru"
"Concepcion, Philippines"
"Concepcion, Philippines"
"Concepcion, Philippines"
"Conception Bay South, Canada"
"Conchagua, El Salvador"
"Conchal, Brazil"
"Conchali, Chile"
"Conchas, Brazil"
"Concon, Chile"
"Concord, United States"
"Concord, United States"
"Concord, United States"
"Concord, United States"
"Concord, United States"
"Concord, United States"
"Concordia Sagittaria, Italy"
"Concordia, Argentina"
"Concordia, Brazil"
"Concordia, Colombia"
"Concordia, Colombia"
"Concorezzo, Italy"
"Conda, Angola"
"Condado, Brazil"
"Conde, Brazil"
"Condega, Nicaragua"
"Condeixa-a-Nova, Portugal"
"Conde-sur-l'Escaut, France"
"Condeuba, Brazil"
"Condoto, Colombia"
"Conegliano, Italy"
"Conewago, United States"
"Conflans-Sainte-Honorine, France"
"Confresa, Brazil"
"Congaz, Moldova"
"Congleton, United Kingdom"
"Congonhal, Brazil"
"Congonhas, Brazil"
"Conguaco, Guatemala"
"Conil de la Frontera, Spain"
"Conisbrough, United Kingdom"
"Conjeeveram, India"
"Connahs Quay, United Kingdom"
"Conneaut, United States"
"Conner, Philippines"
"Connersville, United States"
"Conning Towers Nautilus Park, United States"
"Conroe, United States"
"Consaca, Colombia"
"Conselheiro Lafaiete, Brazil"
"Conselheiro Pena, Brazil"
"Conselice, Italy"
"Conselve, Italy"
"Consett, United Kingdom"
"Conshohocken, United States"
"Consolacion del Sur, Cuba"
"Consolacion, Philippines"
"Constanta, Romania"
"Constantina, Brazil"
"Constantine, Algeria"
"Constanza, Dominican Republic"
"Constitucion, Chile"
"Consuegra, Spain"
"Consuelito, Dominican Republic"
"Contagem, Brazil"
"Contai, India"
"Contamana, Peru"
"Contenda, Brazil"
"Conthey, Switzerland"
"Contla, Mexico"
"Contramaestre, Cuba"
"Convencion, Colombia"
"Conversano, Italy"
"Converse, United States"
"Conway, United States"
"Conway, United States"
"Conway, United States"
"Conway, United States"
"Conwy, United Kingdom"
"Conyers, United States"
"Cookeville, United States"
"Cookstown, United Kingdom"
"Coolbaugh, United States"
"Coolidge, United States"
"Coolum Beach, Australia"
"Cooma, Australia"
"Coomera, Australia"
"Coon Rapids, United States"
"Coondapoor, India"
"Coonoor, India"
"Cooper City, United States"
"Coos Bay, United States"
"Copacabana, Colombia"
"Copalchi, Costa Rica"
"Copan, Honduras"
"Copceac, Moldova"
"Copenhagen, Denmark"
"Copertino, Italy"
"Copiague, United States"
"Copiapo, Chile"
"Copparo, Italy"
"Coppell, United States"
"Copperas Cove, United States"
"Coqueiral, Brazil"
"Coquimatlan, Mexico"
"Coquimbo, Chile"
"Coquitlam, Canada"
"Corabia, Romania"
"Coracao de Jesus, Brazil"
"Coracao de Maria, Brazil"
"Coracora, Peru"
"Corail, Haiti"
"Coral Gables, United States"
"Coral Hills, United States"
"Coral Springs, United States"
"Coral Terrace, United States"
"Coralville, United States"
"Coram, United States"
"Corat, Azerbaijan"
"Corato, Italy"
"Corbas, France"
"Corbeil-Essonnes, France"
"Corbelia, Brazil"
"Corbera de Llobregat, Spain"
"Corbetta, Italy"
"Corby, United Kingdom"
"Corciano, Italy"
"Corcoran, United States"
"Corcuera, Philippines"
"Cordeiro, Brazil"
"Cordeiropolis, Brazil"
"Cordele, United States"
"Cordenons, Italy"
"Cordoba, Argentina"
"Cordoba, Colombia"
"Cordoba, Colombia"
"Cordoba, Mexico"
"Cordoba, Spain"
"Cordon, Philippines"
"Coreau, Brazil"
"Corella, Philippines"
"Corella, Spain"
"Coremas, Brazil"
"Corfe Mullen, United Kingdom"
"Corgao, India"
"Cori, Italy"
"Coria del Rio, Spain"
"Coria, Spain"
"Coriano, Italy"
"Coribe, Brazil"
"Corigliano Calabro, Italy"
"Corinda, Australia"
"Coringa, India"
"Corinth, United States"
"Corinth, United States"
"Corinto, Brazil"
"Corinto, Colombia"
"Corinto, El Salvador"
"Corinto, Nicaragua"
"Cork, Ireland"
"Corleone, Italy"
"Corlu, Turkey"
"Corman Park No. 344, Canada"
"Cormano, Italy"
"Cormeilles-en-Parisis, France"
"Cornaredo, Italy"
"Cornate d'Adda, Italy"
"Cornebarrieu, France"
"Cornedo Vicentino, Italy"
"Cornelio Procopio, Brazil"
"Cornelius, United States"
"Cornelius, United States"
"Corner Brook, Canada"
"Cornillon, Haiti"
"Corning, United States"
"Cornwall, Canada"
"Cornwall, United States"
"Coro, Venezuela"
"Coroaci, Brazil"
"Coroata, Brazil"
"Corocoro, Bolivia"
"Coroico, Bolivia"
"Coromandel, Brazil"
"Coron, Philippines"
"Corona de Tucson, United States"
"Corona, United States"
"Coronado, United States"
"Coronda, Argentina"
"Coronel Bogado, Paraguay"
"Coronel Dorrego, Argentina"
"Coronel Du Graty, Argentina"
"Coronel Fabriciano, Brazil"
"Coronel Freitas, Brazil"
"Coronel Oviedo, Paraguay"
"Coronel Suarez, Argentina"
"Coronel Vivida, Brazil"
"Coronel, Chile"
"Coroneo, Mexico"
"Corovode, Albania"
"Corozal, Belize"
"Corozal, Colombia"
"Corozal, Puerto Rico"
"Corpus Christi, United States"
"Corral de Bustos, Argentina"
"Corrales, United States"
"Corralillo, Cuba"
"Correggio, Italy"
"Correia Pinto, Brazil"
"Corrente, Brazil"
"Correntes, Brazil"
"Correntina, Brazil"
"Corridonia, Italy"
"Corrientes, Argentina"
"Corro de Vall, Spain"
"Corroios, Portugal"
"Corsham, United Kingdom"
"Corsicana, United States"
"Corsico, Italy"
"Cortalim, India"
"Cortazar, Mexico"
"Corte Madera, United States"
"Cortes, Brazil"
"Cortes, Philippines"
"Cortes, Philippines"
"Cortez, United States"
"Cortland, United States"
"Cortlandt, United States"
"Cortona, Italy"
"Coruche, Portugal"
"Corum, Turkey"
"Corumba de Goias, Brazil"
"Corumba, Brazil"
"Corumbaiba, Brazil"
"Corupa, Brazil"
"Coruripe, Brazil"
"Corvallis, United States"
"Corzuela, Argentina"
"Cosamaloapan, Mexico"
"Cosautlan, Mexico"
"Coseley, United Kingdom"
"Cosenza, Italy"
"Cosham, United Kingdom"
"Coshocton, United States"
"Cosio, Mexico"
"Cosmopolis, Brazil"
"Cosmorama, Brazil"
"Cosne sur Loire, France"
"Cospicua, Malta"
"Cosquin, Argentina"
"Cossato, Italy"
"Cossimbazar, India"
"Costa de Caparica, Portugal"
"Costa Marques, Brazil"
"Costa Mesa, United States"
"Costa Volpino, Italy"
"Costas de Cao, Portugal"
"Costessey, United Kingdom"
"Costesti, Moldova"
"Costesti, Romania"
"Coswig, Germany"
"Coswig, Germany"
"Cota, Colombia"
"Cotabato, Philippines"
"Cotacachi, Ecuador"
"Cotegipe, Brazil"
"Cotes de Fer, Haiti"
"Cote-Saint-Luc, Canada"
"Cotia, Brazil"
"Cotija de la Paz, Mexico"
"Coto Brus, Costa Rica"
"Coto de Caza, United States"
"Cotoca, Bolivia"
"Cotonou, Benin"
"Cotorra, Colombia"
"Cotorro, Cuba"
"Cottage Grove, United States"
"Cottage Grove, United States"
"Cottage Lake, United States"
"Cottbus, Germany"
"Cottica, Suriname"
"Cottingham, United Kingdom"
"Cottonwood Heights, United States"
"Cottonwood, United States"
"Cotui, Dominican Republic"
"Coudekerque-Branche, France"
"Coueron, France"
"Coulommiers, France"
"Coulsdon, United Kingdom"
"Council Bluffs, United States"
"Country Club Estates, United States"
"Country Club Hills, United States"
"Country Club, United States"
"Country Club, United States"
"Country Walk, United States"
"Countryside, United States"
"Courbevoic, France"
"Courcelles, Belgium"
"Courcouronnes, France"
"Cournon-d'Auvergne, France"
"Courrieres, France"
"Courtenay, Canada"
"Court-Saint-Etienne, Belgium"
"Cousse, Benin"
"Coutras, France"
"Couva, Trinidad and Tobago"
"Couvin, Belgium"
"Couzeix, France"
"Cova Figueira, Cabo Verde"
"Covasna, Romania"
"Cove, Benin"
"Covenas, Colombia"
"Coventry, United Kingdom"
"Coventry, United States"
"Covilha, Portugal"
"Covina, United States"
"Covington, United States"
"Covington, United States"
"Covington, United States"
"Covington, United States"
"Covington, United States"
"Cowansville, Canada"
"Cowdenbeath, United Kingdom"
"Cowell, Australia"
"Cowes, United Kingdom"
"Coweta, United States"
"Cowley, United Kingdom"
"Cowley, United Kingdom"
"Cowra, Australia"
"Coxim, Brazil"
"Cox's Bazar, Bangladesh"
"Coyaima, Colombia"
"Coycoyan de las Flores, Mexico"
"Coyhaique, Chile"
"Coyotepec, Mexico"
"Coyuca de Catalan, Mexico"
"Coyula, Mexico"
"Cozumel, Mexico"
"Cradock, South Africa"
"Craibas, Brazil"
"Craig, United States"
"Crailsheim, Germany"
"Craiova, Romania"
"Cramlington, United Kingdom"
"Cramond, United Kingdom"
"Cranberry, United States"
"Cranbourne, Australia"
"Cranbrook, Canada"
"Cranendonck, Netherlands"
"Cranford, United States"
"Cran-Gevrier, France"
"Cranleigh, United Kingdom"
"Cranston, United States"
"Craponne, France"
"Crateus, Brazil"
"Crato, Brazil"
"Crato, Brazil"
"Cravinhos, Brazil"
"Crawford, United States"
"Crawfordsville, United States"
"Crawley, United Kingdom"
"Crayford, United Kingdom"
"Creazzo, Italy"
"Creil, France"
"Crema, Italy"
"Cremlingen, Germany"
"Cremona, Italy"
"Crensovci, Slovenia"
"Crepy-en-Valois, France"
"Crespellano, Italy"
"Crespo, Argentina"
"Cresskill, United States"
"Crest Hill, United States"
"Crest, France"
"Crestline, United States"
"Crestview, United States"
"Crestwood, United States"
"Crestwood, United States"
"Creteil, France"
"Creutzwald, France"
"Crevalcore, Italy"
"Creve Coeur, United States"
"Crevillente, Spain"
"Crewe, United Kingdom"
"Criciuma, Brazil"
"Cricova, Moldova"
"Crigglestone, United Kingdom"
"Crikvenica, Croatia"
"Crimmitschau, Germany"
"Crisopolis, Brazil"
"Crispiano, Italy"
"Crissiumal, Brazil"
"Cristais, Brazil"
"Cristalina, Brazil"
"Cristina, Brazil"
"Cristinapolis, Brazil"
"Cristino Castro, Brazil"
"Cristuru Secuiesc, Romania"
"Criuleni, Moldova"
"Crixas, Brazil"
"Crna na Koroskem, Slovenia"
"Crna Trava, Serbia"
"Crnomelj, Slovenia"
"Croata, Brazil"
"Crofton, United States"
"Croissy-sur-Seine, France"
"Croix, France"
"Croix-des-Bouquets, Haiti"
"Crosby, United Kingdom"
"Crosia, Italy"
"Crosne, France"
"Cross Lanes, United States"
"Crossville, United States"
"Crotone, Italy"
"Crowborough, United Kingdom"
"Crowley, United States"
"Crowley, United States"
"Crown Point, United States"
"Croxley Green, United Kingdom"
"Croydon, United Kingdom"
"Croydon, United States"
"Crozet, United States"
"Cruces, Cuba"
"Crusinallo, Italy"
"Cruz Alta, Brazil"
"Cruz das Almas, Brazil"
"Cruz del Eje, Argentina"
"Cruz do Espirito Santo, Brazil"
"Cruz Grande, Mexico"
"Cruz Machado, Brazil"
"Cruz, Brazil"
"Cruzeiro do Oeste, Brazil"
"Cruzeiro do Sul, Brazil"
"Cruzeiro do Sul, Brazil"
"Cruzeiro, Brazil"
"Cruzilia, Brazil"
"Crvenka, Serbia"
"Crystal Beach, Canada"
"Crystal Lake, United States"
"Crystal, United States"
"Csomor, Hungary"
"Csongrad, Hungary"
"Csorna, Hungary"
"Cua Lo, Vietnam"
"Cua, Venezuela"
"Cuajinicuilapa, Mexico"
"Cuamba, Mozambique"
"Cuango, Angola"
"Cuapiaxtla de Madero, Mexico"
"Cuarte de Huerva, Spain"
"Cuartero, Philippines"
"Cuatro Cienegas de Carranza, Mexico"
"Cuauhtemoc, Mexico"
"Cuauhtemoc, Mexico"
"Cuautepec de Hinojosa, Mexico"
"Cuautitlan Izcalli, Mexico"
"Cuautitlan, Mexico"
"Cuautitlan, Mexico"
"Cuautla, Mexico"
"Cubal, Angola"
"Cubatao, Brazil"
"Cubellas, Spain"
"Cubuk, Turkey"
"Cubulco, Guatemala"
"Cucer-Sandevo, North Macedonia"
"Cuchi, Angola"
"Cucuta, Colombia"
"Cudahy, United States"
"Cudahy, United States"
"Cuddalore, India"
"Cuddapah, India"
"Cudworth, United Kingdom"
"Cuellar, Spain"
"Cuemba, Angola"
"Cuenca, Ecuador"
"Cuenca, Philippines"
"Cuenca, Spain"
"Cuencame de Ceniceros, Mexico"
"Cueramaro, Mexico"
"Cuernavaca, Mexico"
"Cuers, France"
"Cuervos, Mexico"
"Cuesmes, Belgium"
"Cueto, Cuba"
"Cuetzala del Progreso, Mexico"
"Cuetzalan, Mexico"
"Cuevas del Almanzora, Spain"
"Cuevo, Bolivia"
"Cugir, Romania"
"Cugnaux, France"
"Cuiaba, Brazil"
"Cuicatlan, Mexico"
"Cuichapa, Mexico"
"Cuihua, China"
"Cuihuangkou, China"
"Cuijk, Netherlands"
"Cuilapa, Guatemala"
"Cuilapan de Guerrero, Mexico"
"Cuilco, Guatemala"
"Cuilo, Angola"
"Cuimba, Angola"
"Cuisnahuat, El Salvador"
"Cuite, Brazil"
"Cuito Cuanavale, Angola"
"Cuito, Angola"
"Cuitzeo del Porvenir, Mexico"
"Cuizhuangzi, China"
"Cujubim, Brazil"
"Cukai, Malaysia"
"Cukurca, Turkey"
"Cukurcayir, Turkey"
"Culaba, Philippines"
"Culasi, Philippines"
"Culcheth, United Kingdom"
"Culemborg, Netherlands"
"Culfa, Azerbaijan"
"Culiacan, Mexico"
"Culion, Philippines"
"Cullera, Spain"
"Cullercoats, United Kingdom"
"Culleredo, Spain"
"Cullinan, South Africa"
"Cullman, United States"
"Cullompton, United Kingdom"
"Culpeper, United States"
"Culver City, United States"
"Cumana, Venezuela"
"Cumanayagua, Cuba"
"Cumanda, Ecuador"
"Cumaral, Colombia"
"Cumaribo, Colombia"
"Cumaru, Brazil"
"Cumayeri, Turkey"
"Cumbal, Colombia"
"Cumberland Hill, United States"
"Cumberland, United States"
"Cumberland, United States"
"Cumberland, United States"
"Cumbernauld, United Kingdom"
"Cumbum, India"
"Cumnock, United Kingdom"
"Cumpana, Romania"
"Cumra, Turkey"
"Cumru, United States"
"Cunco, Chile"
"Cuncolim, India"
"Cunda dia Baze, Angola"
"Cunday, Colombia"
"Cunduacan, Mexico"
"Cunen, Guatemala"
"Cuneo, Italy"
"Cungus, Turkey"
"Cunha Alta, Portugal"
"Cunha Pora, Brazil"
"Cunha, Brazil"
"Cunhinga, Angola"
"Cunit, Spain"
"Cunupia, Trinidad and Tobago"
"Cuorgne, Italy"
"Cupang, Philippines"
"Cupar, United Kingdom"
"Cupertino, United States"
"Cupira, Brazil"
"Cuprija, Serbia"
"Cuquio, Mexico"
"Curaca, Brazil"
"Curacautin, Chile"
"Curacavi, Chile"
"Curanilahue, Chile"
"Curchorem, India"
"Curepipe, Mauritius"
"Curepto, Chile"
"Curico, Chile"
"Curimata, Brazil"
"Curiti, Colombia"
"Curitiba, Brazil"
"Curitibanos, Brazil"
"Curiuva, Brazil"
"Currais Novos, Brazil"
"Curralinho, Brazil"
"Curridabat, Costa Rica"
"Currimao, Philippines"
"Currumbin, Australia"
"Curtea de Arges, Romania"
"Curti, India"
"Curtorim, India"
"Curua, Brazil"
"Curuca, Brazil"
"Curug, Indonesia"
"Curumani, Colombia"
"Cururupu, Brazil"
"Curuzu Cuatia, Argentina"
"Curvelo, Brazil"
"Cusano Milanino, Italy"
"Cuscatancingo, El Salvador"
"Cusco, Peru"
"Cusset, France"
"Cusseta, United States"
"Custodia, Brazil"
"Cutervo, Peru"
"Cutler Bay, United States"
"Cutlerville, United States"
"Cutral-Co, Argentina"
"Cutro, Italy"
"Cutrofiano, Italy"
"Cuttack, India"
"Cuvelai, Angola"
"Cuxhaven, Germany"
"Cuya, Chile"
"Cuyahoga Falls, United States"
"Cuyapo, Philippines"
"Cuyo, Philippines"
"Cuyotenango, Guatemala"
"Cwmbran, United Kingdom"
"Cyangugu, Rwanda"
"Cyanika I, Rwanda"
"Cypress Gardens, United States"
"Cypress Lake, United States"
"Cypress, United States"
"Cyuve, Rwanda"
"Czarna Bialostocka, Poland"
"Czarnkow, Poland"
"Czechowice-Dziedzice, Poland"
"Czeladz, Poland"
"Czersk Pomorski, Poland"
"Czestochowa, Poland"
"Czluchow, Poland"
"Da Lat, Vietnam"
"Da Nang, Vietnam"
"Da, Mali"
"Da'an, China"
"Daanbantayan, Philippines"
"Dabaga, Niger"
"Dabakala, Côte d’Ivoire"
"Dabaozi, China"
"Dabas, Hungary"
"Dabat, Ethiopia"
"Dabeiba, Colombia"
"Dabhaura, India"
"Dabhoi, India"
"Dabiya, Mali"
"Daboh, India"
"Dabola, Guinea"
"Dabou, Côte d’Ivoire"
"Dabouziya, Morocco"
"Dabra, India"
"Dabrowa Gornicza, Poland"
"Dabrowa Tarnowska, Poland"
"Dabuleni, Romania"
"Dabutou, China"
"Dachau, Germany"
"Dachen, China"
"Dacheng, Taiwan"
"Dachengzicun, China"
"Dachepalle, India"
"Dachne, Ukraine"
"Dacun, China"
"Dacun, Taiwan"
"Daddi, India"
"Dadeldhura, Nepal"
"Dadhar, Pakistan"
"Dadrewa, India"
"Dadu, Pakistan"
"Dadukou, China"
"Daean, Korea, South"
"Daegu, Korea, South"
"Daejeon, Korea, South"
"Daet, Philippines"
"Dafni, Greece"
"Daga, Bhutan"
"Dagami, Philippines"
"Dagana, Senegal"
"Daganbhuiya, Bangladesh"
"Daganzo de Arriba, Spain"
"Dagarua, India"
"Dagbe, Benin"
"Dagenham, United Kingdom"
"Dagestanskiye Ogni, Russia"
"Dagiapara, India"
"Dagmara, India"
"Dagohoy, Philippines"
"Dagua, Colombia"
"Dagupan City, Philippines"
"Dahana, Tajikistan"
"Daharia, India"
"Daharia, India"
"Dahbed, Uzbekistan"
"Dahe, Benin"
"Daheba, China"
"Dahecun, China"
"Dahegam, India"
"Dahi, India"
"Dahibhat Madhopur, India"
"Dahivel, India"
"Dahmani, Tunisia"
"Dahu, Taiwan"
"Dahua, India"
"Dahuaishu, China"
"Dahuk, Iraq"
"Dahutang, China"
"Daigo, Japan"
"Daijiazhuang, China"
"Daimiel, Spain"
"Dainyor, Pakistan"
"Daipha, India"
"Daireaux, Argentina"
"Daisen, Japan"
"Daisen, Japan"
"Daita, India"
"Daitocho, Japan"
"Daiwanishi, Japan"
"Daiyue, China"
"Dajabon, Dominican Republic"
"Dajianchang, China"
"Dajiecun, China"
"Dakar, Senegal"
"Dakhan, Iran"
"Dakhram, India"
"Dakit, Philippines"
"Dakor, India"
"Dakota Ridge, United States"
"Dakovo, Croatia"
"Dakpatthar, India"
"Daksinkali, Nepal"
"Dala, Angola"
"Dala, India"
"Dala, Mali"
"Dalaba, Guinea"
"Dalachi, China"
"Dalaguete, Philippines"
"Dalain Hob, China"
"Dalaman, Turkey"
"Dalan, India"
"Dalandzadgad, Mongolia"
"Dalanping, China"
"Dalanzadgad, Mongolia"
"Dalavaypattanam, India"
"Dalawarpur, India"
"Dalby, Australia"
"Dale City, United States"
"Dalfsen, Netherlands"
"Dalgan, Iran"
"Dali, China"
"Dali, China"
"Dali, Cyprus"
"Dalian, China"
"Dalin, Taiwan"
"Dalippur, India"
"Dalja, Egypt"
"Dalkeith, United Kingdom"
"Dalkola, India"
"Dallas, United States"
"Dallas, United States"
"Dallas, United States"
"Dallas, United States"
"Dallgow-Doberitz, Germany"
"Dalli Rajhara, India"
"Dalmine, Italy"
"Dalnegorsk, Russia"
"Dalnerechensk, Russia"
"Daloa, Côte d’Ivoire"
"Dalsingh Sarai, India"
"Dalton, United States"
"Daltonganj, India"
"Dalupo, China"
"Dalupura, India"
"Daly City, United States"
"Dalyoni Bolo, Tajikistan"
"Dam Dam, India"
"Dama, China"
"Damaishan, China"
"Damal, India"
"Damalcheruvu, India"
"Daman, India"
"Damanhur, Egypt"
"Damarcherla, India"
"Damargidda, India"
"Damascus, Syria"
"Damascus, United States"
"Damascus, United States"
"Damaturu, Nigeria"
"Damavand, Iran"
"Damba, Angola"
"Dambai, Ghana"
"Dambal, India"
"Damboa, Nigeria"
"Dambulla, Sri Lanka"
"Damdama, India"
"Dame-Marie, Haiti"
"Damghan, Iran"
"Damietta, Egypt"
"Dammaj, Yemen"
"Dammapeta, India"
"Dammarie-le-Lys, France"
"Dammartin-en-Goele, France"
"Damme, Belgium"
"Damme, Germany"
"Dammennu, India"
"Damoh, India"
"Damongo, Ghana"
"Damonojodi, India"
"Damous, Algeria"
"Damu, India"
"Damua, India"
"Damulog, Philippines"
"Dan Gorayo, Somalia"
"Dan, Benin"
"Dana Point, United States"
"Danao, Philippines"
"Danao, Philippines"
"Danau Kandimarg, India"
"Danbury, United States"
"Dancagan, Philippines"
"Dandarah, Egypt"
"Dandeli, India"
"Dandenong, Australia"
"Danderesso, Mali"
"Dandkhora, India"
"Dandoli, Mali"
"Dandong, China"
"Dandu Mailaram, India"
"Danesfahan, Iran"
"Dang`ara, Uzbekistan"
"Danga, Mali"
"Dangbo, Benin"
"Dangcheng, China"
"Dangchengwan, China"
"Danghara, Tajikistan"
"Dangila, Ethiopia"
"Dangriga, Belize"
"Dangyang, China"
"Dania Beach, United States"
"Danielskuil, South Africa"
"Danihe, China"
"Danilov, Russia"
"Danilovgrad, Montenegro"
"Danjiangkou, China"
"Dank, Oman"
"Danli, Honduras"
"Dano, Burkina Faso"
"Dantewara, India"
"Danvers, United States"
"Danville, United States"
"Danville, United States"
"Danville, United States"
"Danville, United States"
"Danville, United States"
"Danwan, India"
"Danyang, China"
"Danzao, China"
"Dao, Philippines"
"Daoukro, Côte d’Ivoire"
"Dapa, Philippines"
"Dapaong, Togo"
"Daparkha, India"
"Daphne, United States"
"Dapi, Taiwan"
"Daping, China"
"Dapitan, Philippines"
"Dapoli, India"
"Daqiao, China"
"Daqing, China"
"Dar Bel Hamri, Morocco"
"Dar Chabanne, Tunisia"
"Dar Chaifat, Morocco"
"Dar Chioukh, Algeria"
"Dar el Beida, Algeria"
"Dar El Kebdani, Morocco"
"Dar es Salaam, Tanzania"
"Dar Naim, Mauritania"
"Dar Ould Zidouh, Morocco"
"Dar Si Aissa, Morocco"
"Dar`a, Syria"
"Dara, India"
"Dara, Senegal"
"Darabani, Romania"
"Daraga, Philippines"
"Daraina, Madagascar"
"Daraj, Libya"
"Daram, Philippines"
"Darasuram, India"
"Darat `Izzah, Syria"
"Darauli, India"
"Daraw, Egypt"
"Darayya, Syria"
"Darb-e Behesht, Iran"
"Darbhanga, India"
"Darby, United States"
"Darcheh, Iran"
"Dardenne Prairie, United States"
"Dardilly, France"
"Dardoq, Uzbekistan"
"Darende, Turkey"
"Darfield, United Kingdom"
"Dargahan, Iran"
"Darganata, Turkmenistan"
"Dargaz, Iran"
"Dargecit, Turkey"
"Dargot, India"
"Darhan, Mongolia"
"Darhan, Mongolia"
"Darien, Colombia"
"Darien, United States"
"Darihat, India"
"Dario Meira, Brazil"
"Darjeeling, India"
"Darlaston, United Kingdom"
"Darlington, United Kingdom"
"Darlowo, Poland"
"Darmaha, India"
"Darmanesti, Romania"
"Darmstadt, Germany"
"Darnah, Libya"
"Darnetal, France"
"Darpa, India"
"Darregueira, Argentina"
"Darreh Shahr, Iran"
"Darsi, India"
"Darsur, India"
"Dartford, United Kingdom"
"Dartmouth, United States"
"Darton, United Kingdom"
"Daru, Papua New Guinea"
"Daruvar, Croatia"
"Darwa, India"
"Darwen, United Kingdom"
"Darwin, Australia"
"Daryabad, India"
"Dasai, India"
"Dasaut, India"
"Dashao, China"
"Dashiqiao, China"
"Dashouping, China"
"Dashtigulho, Tajikistan"
"Dashtobod, Uzbekistan"
"Daskasan, Azerbaijan"
"Dasmarinas, Philippines"
"Dasnapur, India"
"Dasoguz, Turkmenistan"
"Dasol, Philippines"
"Dasraha Bhograjpur, India"
"Dassari, Benin"
"Dassa-Zoume, Benin"
"Dassel, Germany"
"Dasso, Benin"
"Dastgerd, Iran"
"Dasungezhuang, China"
"Dasuya, India"
"Data, India"
"Datang, China"
"Datang, China"
"Datca, Turkey"
"Date, Japan"
"Date, Japan"
"Datia, India"
"Datian, India"
"Datiana, India"
"Datoda, India"
"Datori, Benin"
"Dattapara, India"
"Dattapulia, India"
"Datteln, Germany"
"Datu Odin Sinsuat, Philippines"
"Datu Paglas, Philippines"
"Datu Piang, Philippines"
"Daudnagar, India"
"Daugavpils, Latvia"
"Dauin, Philippines"
"Dauis, Philippines"
"Daulatkhan, Bangladesh"
"Daulatnagar, India"
"Daulatpur, India"
"Daule, Ecuador"
"Dautphe, Germany"
"Davaci, Azerbaijan"
"Davangere, India"
"Davao, Philippines"
"Davenport, United States"
"Davenport, United States"
"Daventry, United Kingdom"
"David, Panama"
"Davidson, United States"
"Davie, United States"
"Davis, United States"
"Davlekanovo, Russia"
